run_id,loss,seed,max_weight,cap_tag,avg_mse,avg_medse,avg_r2,avg_directional_accuracy,avg_long_short,long_short_cumulative_return,long_short_std,long_short_sharpe
imadl_gmadl_beta07_seed42_cap05,imadl_gmadl_beta07,42,0.05,cap05,23.75899346669515,24.29335816701253,-914.5951309204102,0.5310393077151816,-0.000858255906998622,-0.06533176691514087,0.06405066622406912,-0.046417716612574614
imadl_gmadl_beta07_seed52_cap05,imadl_gmadl_beta07,52,0.05,cap05,8.713242252667746,8.768582940101624,-335.2049166361491,0.5310447714794967,-0.004610849442846306,-0.14519258256088163,0.06345913384292264,-0.25169664372754835
imadl_gmadl_beta07_seed62_cap05,imadl_gmadl_beta07,62,0.05,cap05,17.662036180496216,17.88896981875102,-679.9422887166342,0.5310393077151816,0.00550845221216455,0.08779173064027956,0.06530221265547854,0.2922081416404729
m2_robust_gamma001_seed42_cap05,m2_robust_gamma001,42,0.05,cap05,0.029716978315263987,0.004644584211443241,-0.0795275866985321,0.5310393077151816,0.013123248764507737,0.35138367279826777,0.032428166611415316,1.4018759612818485
m2_robust_gamma001_seed52_cap05,m2_robust_gamma001,52,0.05,cap05,0.02971111595009764,0.004606082986962671,-0.07893576721350352,0.5310446443981848,-0.0021469819389012246,-0.06338162333795017,0.03468646287586505,-0.21441689309273046
m2_robust_gamma001_seed62_cap05,m2_robust_gamma001,62,0.05,cap05,0.02949923152724902,0.00436137732079563,-0.06869128346443176,0.5310443519033885,0.009022449897216425,0.2235087548861896,0.035186221566516664,0.8882648340732598
m2_robust_gamma01_seed42_cap05,m2_robust_gamma01,42,0.05,cap05,0.029775547872607906,0.004696604504715651,-0.08238943417867024,0.5310393077151816,0.005777505591575524,0.13778485137886198,0.028481919632881797,0.7026867117530442
m2_robust_gamma01_seed52_cap05,m2_robust_gamma01,52,0.05,cap05,0.02967908202360074,0.0045772667217534035,-0.07781357069810231,0.5310393077151816,0.021345698378508585,0.5880356526944794,0.06368956458024337,1.1610013149967806
m2_robust_gamma01_seed62_cap05,m2_robust_gamma01,62,0.05,cap05,0.02975341972584526,0.004658817333014061,-0.08146563917398453,0.5310393077151816,0.0043227830493054705,0.08947698693013617,0.03968322766027171,0.37735236335074507
m2_robust_gamma10_seed42_cap05,m2_robust_gamma10,42,0.05,cap05,0.029750825837254524,0.0046710326375129325,-0.08121355871359508,0.5310393077151816,0.009734599426667498,0.18870515200789884,0.07351085045712624,0.4587301246950669
m2_robust_gamma10_seed52_cap05,m2_robust_gamma10,52,0.05,cap05,0.029859865705172222,0.004788699695685257,-0.08638656636079152,0.5310393077151816,0.0112581408416385,0.29941525381027123,0.024610678469158067,1.5846513098711177
m2_robust_gamma10_seed62_cap05,m2_robust_gamma10,62,0.05,cap05,0.02967842062935233,0.004556670901365578,-0.07792024562756221,0.5310393077151816,0.00888198076003118,0.22238455429940207,0.031733501243148006,0.9695773454273346
adaptive_lambda10_seed42_cap05,adaptive_lambda10,42,0.05,cap05,0.10388268964986007,0.08612692076712847,-3.028499643007914,0.5312845496307813,0.003897995050049112,0.05089271820634078,0.06283841687148987,0.2148852822993462
adaptive_lambda10_seed52_cap05,adaptive_lambda10,52,0.05,cap05,0.10770395708580811,0.08956428648283084,-3.1848565886418023,0.5310447714794967,0.008156498570928395,0.20928166852988328,0.02084234300380044,1.3556508434905696
adaptive_lambda10_seed62_cap05,adaptive_lambda10,62,0.05,cap05,0.09378116360555093,0.06635522454356153,-2.6332812011241913,0.5310393077151816,-0.0015390197007767493,-0.0748255224115606,0.05978312621678191,-0.0891776822084789
adaptive_lambda50_seed42_cap05,adaptive_lambda50,42,0.05,cap05,0.038684304958830275,0.015410423977300525,-0.4522753705581029,0.5310393077151816,0.008560637911744542,0.17151312690025544,0.06438838301475151,0.4605631983317512
adaptive_lambda50_seed52_cap05,adaptive_lambda50,52,0.05,cap05,0.03954965256464978,0.01572423583517472,-0.4907052119572957,0.5310393077151816,0.00328096185204119,0.03974176074545399,0.05917361659082018,0.19207183717454965
adaptive_lambda50_seed62_cap05,adaptive_lambda50,62,0.05,cap05,0.03862413763999939,0.014883704561119279,-0.450363685687383,0.5310393077151816,0.002907421418560959,0.033707530420597154,0.05709061448043225,0.1764143427703892
adaptive_lambda100_seed42_cap05,adaptive_lambda100,42,0.05,cap05,0.030705556661511462,0.0059322958695702255,-0.12249906361103058,0.5310393077151816,0.001092557157463667,0.0017927813541045445,0.04635394249191634,0.08164848145247237
adaptive_lambda100_seed52_cap05,adaptive_lambda100,52,0.05,cap05,0.0306894825771451,0.005841153557412326,-0.12295162677764893,0.5310446443981848,0.0013385344955338392,0.018659424507983413,0.034477610281575755,0.13448784501094638
adaptive_lambda100_seed62_cap05,adaptive_lambda100,62,0.05,cap05,0.029952083171034854,0.005004307536485915,-0.08915203313032787,0.5310393077151816,0.0012798316290134118,-0.014149914147764009,0.06312087596984052,0.07023772634727181
